Hamburguer,Energia_kcal,Carbo_g,Protein_g,Gord_tot_g,Gord_sat_g,Fibra_alim_g,Sodio_mg
WHOPPER,819,48,39,51,19,6,1135
WHOPPER_Duplo,1167,48,65,76,76,6,1179
WHOPPER_Furioso,1067,55,50,64,24,5,1793
WHOPPER_Jr,496,31,22,27,11,3,566
WHOPPER_Barbecue Bacon,579,41,27,33,13,3,1239
WHOPPER_Rodeio,765,83,20,39,9,7,2233
Pao_Carne_e_Queijo,363,28,21,18,9,2,379
Cheeseburger,408,31,22,20,10,2,723
Cheeseburger_Bacon,467,30,27,25,12,2,958
Stacker_Duplo_Bacon,864,46,49,53,23,1,1685
Stacker_Triplo,1675,47,108,113,53,4,2274
Cheddar,378,30,19,19,9,2,525
Cheddar_Duplo,607,32,35,36,18,2,690
Big_King,739,44,35,46,18,2,1038
Mega_Stacker_2.0,1311,50,75,87,35,4,2117
Mega_Stacker_3.0,1913,54,113,134,61,4,3212
Mega_Stacker_Atomico_2.0,1768,55,109,120,50,4,4167
Mega_Stacker_Atomico_3.0,2263,57,141,159,71,4,4794
Mega_Stacker_Cheddar_2.0,1274,51,73,84,33,4,2020
Mega Stacker Cheddar_3.0,1718,54,105,116,49,4,2511
BK_Original,714,32,39,50,21,4,811
BK_Cheddar_Original,541,33,38,32,16,0,550
Rodeio,588,50,23,32,12,3,1252
Rodeio_Duplo,801,51,38,47,19,0,1313
Chicken_Jr,345,35,16,16,3,3,733
BK_Chicken_Crispy,406,42,19,18,3,1,944
Chicken_Duplo,591,45,28,33,8,4,1339
Veggie_Burger,424,43,13,21,10,5,759
WHOPPER_de_Plantas,702,54,26,42,17,11,1707
