nonome científico ,mod_elast,mod_rup,tensao_rup,densidade
Aldina Heteróphylla,10.486,61.152,14.014,0.73
Brosimum Rubescens,13.524,77.028,14.994,0.91
Clarisia Racemosa,9.8,62.916,12.054,0.59
Corythophora Rimosa,13.72,75.754,15.974,0.84
Dipteryx Odorata,15.778,101.528,15.778,0.97
Dipteryx Polyphylla,14.504,90.356,16.562,0.83
Enterolobium Schomburgkii,12.642,63.406,14.504,0.68
Glycoxylon Inophyllum,13.426,47.824,12.936,0.73
Guarea Trichiliodes,13.72,61.642,12.25,0.66
Hymenolobium Pulcherrimum,11.858,64.974,12.544,0.67
Licania Oblongifolia,15.386,97.902,20.482,0.88
Licaria Aritu,15.19,86.436,16.17,0.79
Licaria Canela,18.718,120.54,18.032,1.04
Manilkara Huberi,15.582,82.81,21.56,0.92
Mezilaurus Itauba,13.034,51.45,11.564,0.7
Nectandra Rubra,9.604,43.316,8.036,0.52
Pouteria Guianensis,15.288,94.178,14.014,0.9
Swartzza Panacoco,16.268,103.096,18.62,0.97
Tabebuia Serratifolia,16.562,100.058,16.562,0.87
